shortcode,visible_views,url,source
DXnhqlXjUrh,"1,287",https://www.instagram.com/maquiempanadas/reel/DXnhqlXjUrh/,instagram_reels_grid_chrome
DXKtblGAcrK,108K,https://www.instagram.com/maquiempanadas/reel/DXKtblGAcrK/,instagram_reels_grid_chrome
DW3kddNiN35,"2,933",https://www.instagram.com/maquiempanadas/reel/DW3kddNiN35/,instagram_reels_grid_chrome
DWkCshpiGtQ,"3,951",https://www.instagram.com/maquiempanadas/reel/DWkCshpiGtQ/,instagram_reels_grid_chrome
DWhd2SUCcXZ,"1,648",https://www.instagram.com/maquiempanadas/reel/DWhd2SUCcXZ/,instagram_reels_grid_chrome
DWe5EotgYsS,"2,403",https://www.instagram.com/maquiempanadas/reel/DWe5EotgYsS/,instagram_reels_grid_chrome
DWeCUCVCpHK,76.8K,https://www.instagram.com/maquiempanadas/reel/DWeCUCVCpHK/,instagram_reels_grid_chrome
DVbWdHgjSjf,"2,683",https://www.instagram.com/maquiempanadas/reel/DVbWdHgjSjf/,instagram_reels_grid_chrome
DVZ-9KYlOgx,134K,https://www.instagram.com/maquiempanadas/reel/DVZ-9KYlOgx/,instagram_reels_grid_chrome
DU8jvPeDUA8,"2,808",https://www.instagram.com/maquiempanadas/reel/DU8jvPeDUA8/,instagram_reels_grid_chrome
DUrb7H_Ae_k,63.5K,https://www.instagram.com/maquiempanadas/reel/DUrb7H_Ae_k/,instagram_reels_grid_chrome
DUl7WhOiV5l,16.9K,https://www.instagram.com/maquiempanadas/reel/DUl7WhOiV5l/,instagram_reels_grid_chrome
DUjo66_lRa1,33.4K,https://www.instagram.com/maquiempanadas/reel/DUjo66_lRa1/,instagram_reels_grid_chrome
DUeQkiYAGLk,"8,424",https://www.instagram.com/maquiempanadas/reel/DUeQkiYAGLk/,instagram_reels_grid_chrome
DUO8ZAYDbL4,29.7K,https://www.instagram.com/maquiempanadas/reel/DUO8ZAYDbL4/,instagram_reels_grid_chrome
DT-5WhHjuNh,"2,619",https://www.instagram.com/maquiempanadas/reel/DT-5WhHjuNh/,instagram_reels_grid_chrome
DT-LA2uE1rl,"5,017",https://www.instagram.com/maquiempanadas/reel/DT-LA2uE1rl/,instagram_reels_grid_chrome
DTtMUJfjtTG,68K,https://www.instagram.com/maquiempanadas/reel/DTtMUJfjtTG/,instagram_reels_grid_chrome
DTjHXZ-kXGe,13.2K,https://www.instagram.com/maquiempanadas/reel/DTjHXZ-kXGe/,instagram_reels_grid_chrome
DTYEe18EmJF,"5,857",https://www.instagram.com/maquiempanadas/reel/DTYEe18EmJF/,instagram_reels_grid_chrome
DTQukA0EYUt,"2,643",https://www.instagram.com/maquiempanadas/reel/DTQukA0EYUt/,instagram_reels_grid_chrome
DTNu0gBDQSO,"4,899",https://www.instagram.com/maquiempanadas/reel/DTNu0gBDQSO/,instagram_reels_grid_chrome
DTF9GKtjRJd,"5,199",https://www.instagram.com/maquiempanadas/reel/DTF9GKtjRJd/,instagram_reels_grid_chrome
DS-Ov0WFLf1,"4,464",https://www.instagram.com/maquiempanadas/reel/DS-Ov0WFLf1/,instagram_reels_grid_chrome
DS27tzIj2HV,"2,828",https://www.instagram.com/maquiempanadas/reel/DS27tzIj2HV/,instagram_reels_grid_chrome
DSvNUXijG-7,"9,799",https://www.instagram.com/maquiempanadas/reel/DSvNUXijG-7/,instagram_reels_grid_chrome
DSne7LoDRLU,"3,259",https://www.instagram.com/maquiempanadas/reel/DSne7LoDRLU/,instagram_reels_grid_chrome
DSiAnfoDF5W,"7,279",https://www.instagram.com/maquiempanadas/reel/DSiAnfoDF5W/,instagram_reels_grid_chrome
DSfwhiFjO-i,"3,918",https://www.instagram.com/maquiempanadas/reel/DSfwhiFjO-i/,instagram_reels_grid_chrome
DSYCLAygVh5,10.5K,https://www.instagram.com/maquiempanadas/reel/DSYCLAygVh5/,instagram_reels_grid_chrome
DSQTygGiHdj,"5,528",https://www.instagram.com/maquiempanadas/reel/DSQTygGiHdj/,instagram_reels_grid_chrome
DSIN-tdjc_b,"2,635",https://www.instagram.com/maquiempanadas/reel/DSIN-tdjc_b/,instagram_reels_grid_chrome
DSHudt7DZU0,"3,956",https://www.instagram.com/maquiempanadas/reel/DSHudt7DZU0/,instagram_reels_grid_chrome
DSGycCDgbjT,"5,435",https://www.instagram.com/maquiempanadas/reel/DSGycCDgbjT/,instagram_reels_grid_chrome
DSFP-hyDcme,"2,213",https://www.instagram.com/maquiempanadas/reel/DSFP-hyDcme/,instagram_reels_grid_chrome
DSDAbSODoBr,"3,705",https://www.instagram.com/maquiempanadas/reel/DSDAbSODoBr/,instagram_reels_grid_chrome
